Library,Cell type,Biological Replicate number,Protocol used,Restriction Enzyme,Crosslinking Conditions,Biotinylated base used,Ligation Volume,Included in Fig S8 APA histogram?,Total Sequenced Reads,Total Contacts
Primary GM12878 in situ Hi-C,,,,,,,,,,
HIC001,GM12878,1,tethered in situ,MboI,"1% FA, 10min, RT",bio-dCTP,1.2ml,n,"202,095,066","148,358,011"
HIC002,GM12878,1,tethered in situ,MboI,"1% FA, 10min, RT",bio-dCTP,1.2ml,n,"413,230,948","232,985,572"
HIC003,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"486,848,169","393,983,023"
HIC004,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"160,649,365","130,829,245"
HIC005,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"304,049,399","247,790,014"
HIC006,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"153,771,943","126,776,812"
HIC007,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"182,893,710","148,770,483"
HIC008,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"212,099,519","162,374,252"
HIC009,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"117,634,613","94,570,176"
HIC010,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"55,813,939","46,510,588"
HIC011,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"55,817,881","45,743,329"
HIC012,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"194,217,179","144,362,539"
HIC013,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"84,913,545","60,768,266"
HIC014,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"309,986,657","221,733,196"
HIC015,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"174,114,347","99,684,024"
HIC016,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"186,171,788","98,965,718"
HIC017,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"155,717,339","126,146,087"
HIC018,GM12878,1,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"137,165,012","104,128,302"
TOTAL PRIMARY,,,,,,,,,"3,587,190,419","2,634,479,637"
,,,,,,,,,,
Replicate GM12878 in situ Hi-C,,,,,,,,,,
HIC019,GM12878,2,tethered in situ,MboI,"1% FA, 10min, RT",bio-dATP,5ml,n,"314,309,612","226,315,907"
HIC020,GM12878,3,in situ,MboI,"1% FA, 10min, RT",bio-dCTP,1.2ml,n,"389,241,982","297,381,123"
HIC021,GM12878,4,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"178,301,500","141,557,238"
HIC022,GM12878,5,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"348,393,345","255,987,477"
HIC023,GM12878,5,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"322,202,135","244,578,144"
HIC024,GM12878,6,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"111,656,957","87,513,390"
HIC025,GM12878,7,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"347,956,701","280,011,378"
HIC026,GM12878,7,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"356,956,797","289,014,860"
HIC027,GM12878,8,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"328,197,634","262,162,013"
HIC028,GM12878,9,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"74,167,365","58,480,795"
HIC029,GM12878,9,in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"165,946,030","129,665,039"
TOTAL REPLICATE,,,,,,,,,"2,937,330,058","2,272,667,364"
,,,,,,,,,,
GM12878 agar in situ Hi-C,,,,,,,,,,
HIC030,GM12878,8,agar in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"144,634,888","88,286,057"
HIC031,GM12878,8,agar in situ,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"139,062,160","80,806,927"
,,,,,,,,,,
GM12878 pellet/supernatant Hi-C,,,,,,,,,,
HIC032,GM12878,8,pellet,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"99,388,425","68,852,323"
HIC033,GM12878,8,supernatant,MboI,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"75,258,999","31,198,582"
,,,,,,,,,,
GM12878 dilution Hi-C ,,,,,,,,,,
HIC034,GM12878,10,dilution,HindIII,"1% FA, 10min, RT",bio-dCTP,8ml,n,"2,965,711,299","1,411,675,270"
HIC035,GM12878,11,dilution,HindIII,"1% FA, 10min, RT",bio-dCTP,8ml,n,"1,195,923,990","530,928,274"
HIC036,GM12878,12,dilution,NcoI,"1% FA, 10min, RT",bio-dCTP,8ml,n,"670,863,563","474,631,795"
HIC037,GM12878,12,dilution,HindIII,"1% FA, 10min, RT",bio-dCTP,8ml,n,"2,179,251,533","854,548,167"
TOTAL DILUTION,,,,,,,,,"7,011,750,385","3,271,783,506"
,,,,,,,,,,
GM12878 in-situ Hi-C (DpnII),,,,,,,,,,
HIC038,GM12878,33,in situ,DpnII,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"101,689,129","80,706,254"
HIC039,GM12878,33,in situ,DpnII,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"100,551,368","78,636,447"
HIC040,GM12878,32,in situ,DpnII,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"125,709,561","94,468,263"
HIC041,GM12878,32,in situ,DpnII,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"103,175,323","77,958,951"
HIC042,GM12878,33,in situ,DpnII,"1% FA, 10min, RT",bio-dATP,1.2ml,n,"136,425,264","104,465,604"
TOTAL GM12878 in-situ DpnII,,,,,,,,,"567,550,645","436,235,519"
,,,,,,,,,,
GM12878 in-situ Hi-C (no crosslinking),,,,,,,,,,
HIC043,GM12878,34,in situ (gentle handling),MboI,NA,bio-dATP,1.2ml,n,"130,383,023","83,001,094"
HIC044,GM12878,35,agar in situ,MboI,NA,bio-dATP,1.2ml,n,"59,372,731","37,813,793"
HIC045,GM12878,35,agar in situ,MboI,NA,bio-dATP,1.2ml,n,"39,948,679","9,348,332"
HIC046,GM12878,35,agar in situ,MboI,NA,bio-dATP,1.2ml,n,"65,559,543","46,240,798"
HIC047,GM12878,35,agar in situ,MboI,NA,bio-dATP,1.2ml,n,"49,794,361","16,371,783"
TOTAL GM12878 in-situ no crosslinking,,,,,,,,,"345,058,337","192,775,800"
,,,,,,,,,,
